CODIGO,DESCRIPCION,ENTRADAS,SALIDAS,SALDO,,CODIGO,DESCRIPCION,FECHA ,CANTIDAD,,CODIGO,DESCRIPCION,FECHA,CANTIDAD
RMI048,MITSUBICHI SPACE WAGON ,1,0,1,,RMI048,MITSUBICHI SPACE WAGON ,,1,,RMI048,MITSUBICHI SPACE WAGON ,,
RMI049,MITSUBICHI LANCER (VIEJO-USADO),0,0,0,,RMI049,MITSUBICHI LANCER (VIEJO-USADO),,,,RMI049,MITSUBICHI LANCER (VIEJO-USADO),,
RMI050,MITSUBICHI 3000,0,0,0,,RMI050,MITSUBICHI 3000,,,,RMI050,MITSUBICHI 3000,,
RMI051,MITSUBICHI LANCER,0,0,0,,RMI051,MITSUBICHI LANCER,,,,RMI051,MITSUBICHI LANCER,,
RHO052,HONDA ACCORD (VIEJO),0,0,0,,RHO052,HONDA ACCORD (VIEJO),,,,RHO052,HONDA ACCORD (VIEJO),,
RHO053,HONDA ODYSSEY (2010),0,0,0,,RHO053,HONDA ODYSSEY (2010),,,,RHO053,HONDA ODYSSEY (2010),,
RHO054,HONDA ACCORD (2007),2,0,2,,RHO054,HONDA ACCORD (2007),,2,,RHO054,HONDA ACCORD (2007),,
RHO055,HONDA ACURA LEYEND ,1,0,1,,RHO055,HONDA ACURA LEYEND ,,1,,RHO055,HONDA ACURA LEYEND ,,
RHO056,HONDA CIVIC (VIEJO),1,0,1,,RHO056,HONDA CIVIC (VIEJO),,1,,RHO056,HONDA CIVIC (VIEJO),,
RHO057,HONDA CR-V,2,0,2,,RHO057,HONDA CR-V,,2,,RHO057,HONDA CR-V,,
RHO058,HONDA FIT ,1,0,1,,RHO058,HONDA FIT ,,1,,RHO058,HONDA FIT ,,
RHO059,HONDA EMOTION ,3,0,3,,RHO059,HONDA EMOTION ,10/10/2025,3,,RHO059,HONDA EMOTION ,,
RMA060,MAZDA DEMIO ,3,0,3,,RMA060,MAZDA DEMIO ,,3,,RMA060,MAZDA DEMIO ,,
RMA061,MAZDA 323,1,0,1,,RMA061,MAZDA 323,,1,,RMA061,MAZDA 323,,
RMA062,MAZDA AUTOMATICO,2,0,2,,RMA062,MAZDA AUTOMATICO,,2,,RMA062,MAZDA AUTOMATICO,,
RMA063,MAZDA PICK -UP  (SINCRONICO),0,0,0,,RMA063,MAZDA PICK -UP  (SINCRONICO),,,,RMA063,MAZDA PICK -UP  (SINCRONICO),,
RMA064,MAZDA 626,0,0,0,,RMA064,MAZDA 626,,,,RMA064,MAZDA 626,,
RFI065,FIAT PALIO SIENA ,0,0,0,,RFI065,FIAT PALIO SIENA ,,,,RFI065,FIAT PALIO SIENA ,,
RFI066,FIAT TEMPRA ,1,0,1,,RFI066,FIAT TEMPRA ,,1,,RFI066,FIAT TEMPRA ,,
RVW067,CROSS FOX (ANCLAJE RAPIDO),0,0,0,,RVW067,CROSS FOX (ANCLAJE RAPIDO),,,,RVW067,CROSS FOX (ANCLAJE RAPIDO),,
RVW068,CROSS FOX (ANCLAJE NORMAL),0,0,0,,RVW068,CROSS FOX (ANCLAJE NORMAL),,,,RVW068,CROSS FOX (ANCLAJE NORMAL),,
RVW069,CROSS FOX ,0,0,0,,RVW069,CROSS FOX ,,,,RVW069,CROSS FOX ,,
RVW070,VOLKSWAGEN  PASSAPARATI,1,0,1,,RVW070,VOLKSWAGEN  PASSAPARATI,,1,,RVW070,VOLKSWAGEN  PASSAPARATI,,
RCY071,CHERY ARAUCA,4,0,4,,RCY071,CHERY ARAUCA,,4,,RCY071,CHERY ARAUCA,,
RCY072,CHERY CUCU,3,0,3,,RCY072,CHERY CUCU,,3,,RCY072,CHERY CUCU,,
RSZ073,JIMMY SUZUKI,0,0,0,,RSZ073,JIMMY SUZUKI,,,,RSZ073,JIMMY SUZUKI,,
RSZ074,SUZUKI VITARA - CHEVROLET ,0,0,0,,RSZ074,SUZUKI VITARA - CHEVROLET ,,,,RSZ074,SUZUKI VITARA - CHEVROLET ,,
RSU075,SUBARU UNICO ,0,0,0,,RSU075,SUBARU UNICO ,,,,RSU075,SUBARU UNICO ,,
RRE076,RENAULT  CLIO MEGANE ,0,0,0,,RRE076,RENAULT  CLIO MEGANE ,,,,RRE076,RENAULT  CLIO MEGANE ,,
RRE077,RENAULT TWINGO,0,0,0,,RRE077, RENAULT TWINGO,,,,RRE077, RENAULT TWINGO,,
RDW078,DAEWOOD MATIZ,0,0,0,,RDW078,DAEWOOD MATIZ,,,,RDW078,DAEWOOD MATIZ,,
RPE079,PEUGEOT CRUZE ,0,0,0,,RPE079,PEUGEOT CRUZE ,,,,RPE079,PEUGEOT CRUZE ,,
RJP080,JEEP CHEROKE (2002-2010),0,0,0,,RJP080,JEEP CHEROKE (2002-2010),,,,RJP080,JEEP CHEROKE (2002-2010),,
RJP081,JEEP / FORD K-K ,0,0,0,,RJP081,JEEP / FORD K-K ,,,,RJP081,JEEP / FORD K-K ,,
RJP082,JEEP 4G 2012,1,0,1,,RJP082,JEEP 4G 2012,,1,,RJP082,JEEP 4G 2012,,
RJP083,JEEP LIBERTY  SINC.,0,0,0,,RJP083,JEEP LIBERTY  SINC.,,,,RJP083,JEEP LIBERTY  SINC.,,
RNE084,NEON CHRYSLER ,0,0,0,,RNE084,NEON CHRYSLER ,,,,RNE084,NEON CHRYSLER ,,
RTO085,TOYOTA YARIS 2006 SINC.,0,0,0,,RTO085,TOYOTA YARIS 2006 SINC.,,0,,RTO085,TOYOTA YARIS 2006 SINC.,11/10/2025,1
RTO086,TOYOTA YARIS 2007-2010 AUT ,0,0,0,,RTO086,TOYOTA YARIS 2007-2010 AUT ,,,,RTO086,TOYOTA YARIS 2007-2010 AUT ,,
RTO087,TOYOTA YARIS 2004 SINC - AUT ,0,0,0,,RTO087,TOYOTA YARIS 2004 SINC - AUT ,,,,RTO087,TOYOTA YARIS 2004 SINC - AUT ,,
RTO088,TOYOTA CAMRY 2.2,1,0,1,,RTO088,TOYOTA CAMRY 2.2,,1,,RTO088,TOYOTA CAMRY 2.2,,
RTO089,TOYOTA CAMRY 3.5,0,0,0,,RTO089,TOYOTA CAMRY 3.5,,,,RTO089,TOYOTA CAMRY 3.5,,
RTO090,TOYOTA BABY CAMRY  1.6,0,0,0,,RTO090,TOYOTA BABY CAMRY  1.6,,,,RTO090,TOYOTA BABY CAMRY  1.6,,
RTO091,TOYOTA BABY CAMRY AUT. ,0,0,0,,RTO091,TOYOTA BABY CAMRY AUT. ,,,,RTO091,TOYOTA BABY CAMRY AUT. ,,
RTO092,TOYOTA CAMRY  1900,0,0,0,,RTO092,TOYOTA CAMRY  1900,,,,RTO092,TOYOTA CAMRY  1900,,
RTO093,TOYOTA COROLLA  2009,3,0,3,,RTO093,TOYOTA COROLLA  2009,,3,,RTO093,TOYOTA COROLLA  2009,,
RTO094,TOYOTA PREVIA ,1,0,1,,RTO094,TOYOTA PREVIA ,,1,,RTO094,TOYOTA PREVIA ,,
RTO095,TOYOTA ARAYA,0,0,0,,RTO095,TOYOTA ARAYA,,,,RTO095,TOYOTA ARAYA,,
RTO096,TOYOTA PRADO ,0,0,0,,RTO096,TOYOTA PRADO ,,,,RTO096,TOYOTA PRADO ,,
RTO097,TOYOTA CELICA (1995-1999),0,0,0,,RTO097,TOYOTA CELICA (1995-1999),,,,RTO097,TOYOTA CELICA (1995-1999),,
RTO098,TOYOTA SENSACION ,2,0,2,,RTO098,TOYOTA SENSACION ,,2,,RTO098,TOYOTA SENSACION ,,
RTO099,TOYOTA SEQUIOA 2001-2007,0,0,0,,RTO099,TOYOTA SEQUIOA 2001-2007,,,,RTO099,TOYOTA SEQUIOA 2001-2007,,
RTO100,TOYOTA FORTUNER HYLUX ,0,0,0,,RTO100,TOYOTA FORTUNER HYLUX ,,,,RTO100,TOYOTA FORTUNER HYLUX ,,
RHY101,HYUNDAI SONATA,1,0,1,,RHY101,HYUNDAI SONATA,,1,,RHY101,HYUNDAI SONATA,,
RHY102,HYUNDAI EXCEL,1,0,1,,RHY102,HYUNDAI EXCEL,,1,,RHY102,HYUNDAI EXCEL,,
RHY103,HYUNDAI ELANTRA,0,0,0,,RHY103,HYUNDAI ELANTRA,,,,RHY103,HYUNDAI ELANTRA,,
RHY104,HYUNDAI H-1 SINC.,1,0,1,,RHY104,HYUNDAI H-1 SINC.,,1,,RHY104,HYUNDAI H-1 SINC.,,
RHY105,HYUNDAI H-1 (2007),1,0,1,,RHY105,HYUNDAI H-1 (2007),,1,,RHY105,HYUNDAI H-1 (2007),,
RHY106,HYUNDAI SANTA FE,1,0,1,,RHY106,HYUNDAI SANTA FE,,1,,RHY106,HYUNDAI SANTA FE,,
RHY107,HYUNDAI VERNA ,1,0,1,,RHY107,HYUNDAI VERNA ,,1,,RHY107,HYUNDAI VERNA ,,
RHY108,HYUNDAI ATOS,1,0,1,,RHY108,HYUNDAI ATOS,,1,,RHY108,HYUNDAI ATOS,,
