MODELO,PLACA,SERVICIO / Descripción,FECHA,COSTO,
Mitsubishi Lancer,EAH81Y,Limpieza,14-Oct,40,
Toyota Camry blanco,AI230CK,Limpieza,14-Oct,40,
Chery Tiggo blanco,AF173NA,Limpieza,14-Oct,40,
Mitsubishi Montero Sport azul,AA62N80,Radiador nuevo,15-Oct,210,
Toyota 4Runner plateada,AB768LF,Limpieza y reparación,15-Oct,60,
Hyundai Elantra plateado,AF0100A,Limpieza,16-Oct,50,
Hyundai Matrix rojo,AA61D20,Limpieza y reparación,16-Oct,60,
Nissan Sentra B14,ABW63G,Limpieza y cambio de tanque,21-Oct,80,
Ford Explorer,SBJ51X,Limpieza y cambio de tq inferior,27-Oct,110,
Honda Civic plateado,AA92G60,Limpieza y cambio de tanque,27-Oct,80,
Hyundai Tucson blanco,AA24H20,Limpieza y reparación,28-Oct,70,
Mazda rojo,AAR00L,Radiador nuevo,29-Oct,230,
Chevrolet Aveo,AC198PF,Limpieza y reparación,31-Oct,60,
Ford Explorer,AA568IV,Cambio de tanque y reparación,31-Oct,70,
